Rf	Ru	eps	epsp	RERHO	IMRHO	alpha_f	alpha_u	delta_f	delta_u	status
0.12	0.05	0.01	0.1	0.75	14.134725	4.0008e-09	8.3430e-12	1.3219e-13	7.2730e-15	EXCLUDED
0.12	0.05	0.1	0.01	0.75	14.134725	4.0008e-09	8.3430e-12	1.2137e-12	7.9211e-16	EXCLUDED
0.12	0.05	0.1	0.1	0.75	14.134725	4.0008e-09	8.3430e-12	1.2137e-12	7.2730e-15	EXCLUDED
0.1732	0.02	0.01	0.01	0.75	14.134725	5.5224e-08	1.3561e-14	6.1685e-13	1.7678e-18	EXCLUDED
0.1732	0.02	0.01	0.1	0.75	14.134725	5.5224e-08	1.3561e-14	6.1685e-13	1.6232e-17	EXCLUDED
0.1732	0.02	0.1	0.01	0.75	14.134725	5.5224e-08	1.3561e-14	5.6638e-12	1.7678e-18	EXCLUDED
0.1732	0.02	0.1	0.1	0.75	14.134725	5.5224e-08	1.3561e-14	5.6638e-12	1.6232e-17	EXCLUDED
0.1732	0.05	0.01	0.01	0.75	14.134725	5.5224e-08	8.3430e-12	6.1685e-13	7.9211e-16	EXCLUDED
0.1732	0.05	0.01	0.1	0.75	14.134725	5.5224e-08	8.3430e-12	6.1685e-13	7.2730e-15	EXCLUDED
0.1732	0.05	0.1	0.01	0.75	14.134725	5.5224e-08	8.3430e-12	5.6638e-12	7.9211e-16	EXCLUDED
0.1732	0.05	0.1	0.1	0.75	14.134725	5.5224e-08	8.3430e-12	5.6638e-12	7.2730e-15	EXCLUDED
0.08	0.08	0.01	0.01	0.6	14.134725	2.2723e-10	2.2723e-10	1.4513e-14	1.4513e-14	VISIBLE
0.08	0.08	0.01	0.1	0.6	14.134725	2.2723e-10	2.2723e-10	1.4513e-14	1.3325e-13	VISIBLE
0.08	0.08	0.1	0.01	0.6	14.134725	2.2723e-10	2.2723e-10	1.3325e-13	1.4513e-14	VISIBLE
0.08	0.08	0.1	0.1	0.6	14.134725	2.2723e-10	2.2723e-10	1.3325e-13	1.3325e-13	VISIBLE
0.08	0.12	0.01	0.01	0.6	14.134725	2.2723e-10	4.0004e-09	1.4513e-14	1.3232e-13	VISIBLE
0.08	0.12	0.01	0.1	0.6	14.134725	2.2723e-10	4.0004e-09	1.4513e-14	1.2149e-12	VISIBLE
0.08	0.12	0.1	0.01	0.6	14.134725	2.2723e-10	4.0004e-09	1.3325e-13	1.3232e-13	VISIBLE
0.08	0.12	0.1	0.1	0.6	14.134725	2.2723e-10	4.0004e-09	1.3325e-13	1.2149e-12	VISIBLE
0.08	0.1732	0.01	0.01	0.6	14.134725	2.2723e-10	5.5233e-08	1.4513e-14	6.1814e-13	VISIBLE
0.08	0.1732	0.01	0.1	0.6	14.134725	2.2723e-10	5.5233e-08	1.4513e-14	5.6757e-12	VISIBLE
0.08	0.1732	0.1	0.01	0.6	14.134725	2.2723e-10	5.5233e-08	1.3325e-13	6.1814e-13	VISIBLE
0.08	0.1732	0.1	0.1	0.6	14.134725	2.2723e-10	5.5233e-08	1.3325e-13	5.6757e-12	VISIBLE
0.12	0.08	0.01	0.01	0.6	14.134725	4.0004e-09	2.2723e-10	1.3232e-13	1.4513e-14	VISIBLE
0.12	0.08	0.01	0.1	0.6	14.134725	4.0004e-09	2.2723e-10	1.3232e-13	1.3325e-13	VISIBLE
0.12	0.08	0.1	0.01	0.6	14.134725	4.0004e-09	2.2723e-10	1.2149e-12	1.4513e-14	VISIBLE
0.12	0.08	0.1	0.1	0.6	14.134725	4.0004e-09	2.2723e-10	1.2149e-12	1.3325e-13	VISIBLE
0.12	0.12	0.01	0.01	0.6	14.134725	4.0004e-09	4.0004e-09	1.3232e-13	1.3232e-13	VISIBLE
0.12	0.12	0.01	0.1	0.6	14.134725	4.0004e-09	4.0004e-09	1.3232e-13	1.2149e-12	VISIBLE
0.12	0.12	0.1	0.01	0.6	14.134725	4.0004e-09	4.0004e-09	1.2149e-12	1.3232e-13	VISIBLE
0.12	0.12	0.1	0.1	0.6	14.134725	4.0004e-09	4.0004e-09	1.2149e-12	1.2149e-12	VISIBLE
0.12	0.1732	0.01	0.01	0.6	14.134725	4.0004e-09	5.5233e-08	1.3232e-13	6.1814e-13	VISIBLE
0.12	0.1732	0.01	0.1	0.6	14.134725	4.0004e-09	5.5233e-08	1.3232e-13	5.6757e-12	VISIBLE
0.12	0.1732	0.1	0.01	0.6	14.134725	4.0004e-09	5.5233e-08	1.2149e-12	6.1814e-13	VISIBLE
0.12	0.1732	0.1	0.1	0.6	14.134725	4.0004e-09	5.5233e-08	1.2149e-12	5.6757e-12	VISIBLE
0.1732	0.08	0.01	0.01	0.6	14.134725	5.5233e-08	2.2723e-10	6.1814e-13	1.4513e-14	TESTED
0.1732	0.08	0.01	0.1	0.6	14.134725	5.5233e-08	2.2723e-10	6.1814e-13	1.3325e-13	TESTED
0.1732	0.08	0.1	0.01	0.6	14.134725	5.5233e-08	2.2723e-10	5.6757e-12	1.4513e-14	TESTED
0.1732	0.08	0.1	0.1	0.6	14.134725	5.5233e-08	2.2723e-10	5.6757e-12	1.3325e-13	TESTED
0.1732	0.12	0.01	0.01	0.6	14.134725	5.5233e-08	4.0004e-09	6.1814e-13	1.3232e-13	VISIBLE
0.1732	0.12	0.01	0.1	0.6	14.134725	5.5233e-08	4.0004e-09	6.1814e-13	1.2149e-12	VISIBLE
0.1732	0.12	0.1	0.01	0.6	14.134725	5.5233e-08	4.0004e-09	5.6757e-12	1.3232e-13	VISIBLE
0.1732	0.12	0.1	0.1	0.6	14.134725	5.5233e-08	4.0004e-09	5.6757e-12	1.2149e-12	VISIBLE
0.1732	0.1732	0.01	0.01	0.6	14.134725	5.5233e-08	5.5233e-08	6.1814e-13	6.1814e-13	VISIBLE
0.1732	0.1732	0.01	0.1	0.6	14.134725	5.5233e-08	5.5233e-08	6.1814e-13	5.6757e-12	VISIBLE
0.1732	0.1732	0.1	0.01	0.6	14.134725	5.5233e-08	5.5233e-08	5.6757e-12	6.1814e-13	VISIBLE
0.1732	0.1732	0.1	0.1	0.6	14.134725	5.5233e-08	5.5233e-08	5.6757e-12	5.6757e-12	VISIBLE
0.05	0.02	0.01	0.01	0.6	14.134725	8.3410e-12	1.3558e-14	7.9215e-16	1.7675e-18	EXCLUDED
0.05	0.02	0.01	0.1	0.6	14.134725	8.3410e-12	1.3558e-14	7.9215e-16	1.6229e-17	EXCLUDED
0.05	0.02	0.1	0.01	0.6	14.134725	8.3410e-12	1.3558e-14	7.2734e-15	1.7675e-18	EXCLUDED
0.05	0.02	0.1	0.1	0.6	14.134725	8.3410e-12	1.3558e-14	7.2734e-15	1.6229e-17	EXCLUDED
0.05	0.05	0.01	0.01	0.6	14.134725	8.3410e-12	8.3410e-12	7.9215e-16	7.9215e-16	EXCLUDED
0.05	0.05	0.01	0.1	0.6	14.134725	8.3410e-12	8.3410e-12	7.9215e-16	7.2734e-15	EXCLUDED
0.05	0.05	0.1	0.01	0.6	14.134725	8.3410e-12	8.3410e-12	7.2734e-15	7.9215e-16	EXCLUDED
0.05	0.05	0.1	0.1	0.6	14.134725	8.3410e-12	8.3410e-12	7.2734e-15	7.2734e-15	EXCLUDED
0.05	0.08	0.01	0.01	0.6	14.134725	8.3410e-12	2.2723e-10	7.9215e-16	1.4513e-14	EXCLUDED
0.05	0.08	0.01	0.1	0.6	14.134725	8.3410e-12	2.2723e-10	7.9215e-16	1.3325e-13	EXCLUDED
0.05	0.08	0.1	0.01	0.6	14.134725	8.3410e-12	2.2723e-10	7.2734e-15	1.4513e-14	EXCLUDED
0.05	0.08	0.1	0.1	0.6	14.134725	8.3410e-12	2.2723e-10	7.2734e-15	1.3325e-13	EXCLUDED
0.08	0.02	0.01	0.01	0.6	14.134725	2.2723e-10	1.3558e-14	1.4513e-14	1.7675e-18	EXCLUDED
0.08	0.02	0.01	0.1	0.6	14.134725	2.2723e-10	1.3558e-14	1.4513e-14	1.6229e-17	EXCLUDED
0.08	0.02	0.1	0.01	0.6	14.134725	2.2723e-10	1.3558e-14	1.3325e-13	1.7675e-18	EXCLUDED
0.08	0.02	0.1	0.1	0.6	14.134725	2.2723e-10	1.3558e-14	1.3325e-13	1.6229e-17	EXCLUDED
0.08	0.05	0.01	0.01	0.6	14.134725	2.2723e-10	8.3410e-12	1.4513e-14	7.9215e-16	EXCLUDED
0.08	0.05	0.01	0.1	0.6	14.134725	2.2723e-10	8.3410e-12	1.4513e-14	7.2734e-15	EXCLUDED
0.08	0.05	0.1	0.01	0.6	14.134725	2.2723e-10	8.3410e-12	1.3325e-13	7.9215e-16	EXCLUDED
0.08	0.05	0.1	0.1	0.6	14.134725	2.2723e-10	8.3410e-12	1.3325e-13	7.2734e-15	EXCLUDED
0.12	0.02	0.01	0.01	0.6	14.134725	4.0004e-09	1.3558e-14	1.3232e-13	1.7675e-18	EXCLUDED
0.12	0.02	0.01	0.1	0.6	14.134725	4.0004e-09	1.3558e-14	1.3232e-13	1.6229e-17	EXCLUDED
0.12	0.02	0.1	0.01	0.6	14.134725	4.0004e-09	1.3558e-14	1.2149e-12	1.7675e-18	EXCLUDED
0.12	0.02	0.1	0.1	0.6	14.134725	4.0004e-09	1.3558e-14	1.2149e-12	1.6229e-17	EXCLUDED
0.12	0.05	0.01	0.01	0.6	14.134725	4.0004e-09	8.3410e-12	1.3232e-13	7.9215e-16	EXCLUDED
0.12	0.05	0.01	0.1	0.6	14.134725	4.0004e-09	8.3410e-12	1.3232e-13	7.2734e-15	EXCLUDED
0.12	0.05	0.1	0.01	0.6	14.134725	4.0004e-09	8.3410e-12	1.2149e-12	7.9215e-16	EXCLUDED
0.12	0.05	0.1	0.1	0.6	14.134725	4.0004e-09	8.3410e-12	1.2149e-12	7.2734e-15	EXCLUDED
0.1732	0.02	0.01	0.01	0.6	14.134725	5.5233e-08	1.3558e-14	6.1814e-13	1.7675e-18	EXCLUDED
0.1732	0.02	0.01	0.1	0.6	14.134725	5.5233e-08	1.3558e-14	6.1814e-13	1.6229e-17	EXCLUDED
0.1732	0.02	0.1	0.01	0.6	14.134725	5.5233e-08	1.3558e-14	5.6757e-12	1.7675e-18	EXCLUDED
0.1732	0.02	0.1	0.1	0.6	14.134725	5.5233e-08	1.3558e-14	5.6757e-12	1.6229e-17	EXCLUDED
0.1732	0.05	0.01	0.01	0.6	14.134725	5.5233e-08	8.3410e-12	6.1814e-13	7.9215e-16	EXCLUDED
0.1732	0.05	0.01	0.1	0.6	14.134725	5.5233e-08	8.3410e-12	6.1814e-13	7.2734e-15	EXCLUDED
0.1732	0.05	0.1	0.01	0.6	14.134725	5.5233e-08	8.3410e-12	5.6757e-12	7.9215e-16	EXCLUDED
0.1732	0.05	0.1	0.1	0.6	14.134725	5.5233e-08	8.3410e-12	5.6757e-12	7.2734e-15	EXCLUDED
0.08	0.08	0.01	0.01	0.55	14.134725	2.2722e-10	2.2722e-10	1.4515e-14	1.4515e-14	VISIBLE
0.08	0.08	0.01	0.1	0.55	14.134725	2.2722e-10	2.2722e-10	1.4515e-14	1.3327e-13	VISIBLE
0.08	0.08	0.1	0.01	0.55	14.134725	2.2722e-10	2.2722e-10	1.3327e-13	1.4515e-14	VISIBLE
0.08	0.08	0.1	0.1	0.55	14.134725	2.2722e-10	2.2722e-10	1.3327e-13	1.3327e-13	VISIBLE
0.08	0.12	0.01	0.01	0.55	14.134725	2.2722e-10	4.0004e-09	1.4515e-14	1.3236e-13	VISIBLE
0.08	0.12	0.01	0.1	0.55	14.134725	2.2722e-10	4.0004e-09	1.4515e-14	1.2153e-12	VISIBLE
0.08	0.12	0.1	0.01	0.55	14.134725	2.2722e-10	4.0004e-09	1.3327e-13	1.3236e-13	VISIBLE
0.08	0.12	0.1	0.1	0.55	14.134725	2.2722e-10	4.0004e-09	1.3327e-13	1.2153e-12	VISIBLE
0.08	0.1732	0.01	0.01	0.55	14.134725	2.2722e-10	5.5238e-08	1.4515e-14	6.1853e-13	VISIBLE
0.08	0.1732	0.01	0.1	0.55	14.134725	2.2722e-10	5.5238e-08	1.4515e-14	5.6793e-12	VISIBLE
0.08	0.1732	0.1	0.01	0.55	14.134725	2.2722e-10	5.5238e-08	1.3327e-13	6.1853e-13	VISIBLE
0.08	0.1732	0.1	0.1	0.55	14.134725	2.2722e-10	5.5238e-08	1.3327e-13	5.6793e-12	VISIBLE
0.12	0.08	0.01	0.01	0.55	14.134725	4.0004e-09	2.2722e-10	1.3236e-13	1.4515e-14	VISIBLE
0.12	0.08	0.01	0.1	0.55	14.134725	4.0004e-09	2.2722e-10	1.3236e-13	1.3327e-13	VISIBLE
0.12	0.08	0.1	0.01	0.55	14.134725	4.0004e-09	2.2722e-10	1.2153e-12	1.4515e-14	VISIBLE
0.12	0.08	0.1	0.1	0.55	14.134725	4.0004e-09	2.2722e-10	1.2153e-12	1.3327e-13	VISIBLE
0.12	0.12	0.01	0.01	0.55	14.134725	4.0004e-09	4.0004e-09	1.3236e-13	1.3236e-13	VISIBLE
0.12	0.12	0.01	0.1	0.55	14.134725	4.0004e-09	4.0004e-09	1.3236e-13	1.2153e-12	VISIBLE
0.12	0.12	0.1	0.01	0.55	14.134725	4.0004e-09	4.0004e-09	1.2153e-12	1.3236e-13	VISIBLE
0.12	0.12	0.1	0.1	0.55	14.134725	4.0004e-09	4.0004e-09	1.2153e-12	1.2153e-12	VISIBLE
0.12	0.1732	0.01	0.01	0.55	14.134725	4.0004e-09	5.5238e-08	1.3236e-13	6.1853e-13	VISIBLE
0.12	0.1732	0.01	0.1	0.55	14.134725	4.0004e-09	5.5238e-08	1.3236e-13	5.6793e-12	VISIBLE
0.12	0.1732	0.1	0.01	0.55	14.134725	4.0004e-09	5.5238e-08	1.2153e-12	6.1853e-13	VISIBLE
0.12	0.1732	0.1	0.1	0.55	14.134725	4.0004e-09	5.5238e-08	1.2153e-12	5.6793e-12	VISIBLE
0.1732	0.08	0.01	0.01	0.55	14.134725	5.5238e-08	2.2722e-10	6.1853e-13	1.4515e-14	TESTED
0.1732	0.08	0.01	0.1	0.55	14.134725	5.5238e-08	2.2722e-10	6.1853e-13	1.3327e-13	TESTED
0.1732	0.08	0.1	0.01	0.55	14.134725	5.5238e-08	2.2722e-10	5.6793e-12	1.4515e-14	TESTED
0.1732	0.08	0.1	0.1	0.55	14.134725	5.5238e-08	2.2722e-10	5.6793e-12	1.3327e-13	TESTED
0.1732	0.12	0.01	0.01	0.55	14.134725	5.5238e-08	4.0004e-09	6.1853e-13	1.3236e-13	VISIBLE
0.1732	0.12	0.01	0.1	0.55	14.134725	5.5238e-08	4.0004e-09	6.1853e-13	1.2153e-12	VISIBLE
0.1732	0.12	0.1	0.01	0.55	14.134725	5.5238e-08	4.0004e-09	5.6793e-12	1.3236e-13	VISIBLE
0.1732	0.12	0.1	0.1	0.55	14.134725	5.5238e-08	4.0004e-09	5.6793e-12	1.2153e-12	VISIBLE
0.1732	0.1732	0.01	0.01	0.55	14.134725	5.5238e-08	5.5238e-08	6.1853e-13	6.1853e-13	VISIBLE
0.1732	0.1732	0.01	0.1	0.55	14.134725	5.5238e-08	5.5238e-08	6.1853e-13	5.6793e-12	VISIBLE
0.1732	0.1732	0.1	0.01	0.55	14.134725	5.5238e-08	5.5238e-08	5.6793e-12	6.1853e-13	VISIBLE
0.1732	0.1732	0.1	0.1	0.55	14.134725	5.5238e-08	5.5238e-08	5.6793e-12	5.6793e-12	VISIBLE
0.05	0.02	0.01	0.01	0.55	14.134725	8.3408e-12	1.3557e-14	7.9219e-16	1.7675e-18	EXCLUDED
0.05	0.02	0.01	0.1	0.55	14.134725	8.3408e-12	1.3557e-14	7.9219e-16	1.6229e-17	EXCLUDED
0.05	0.02	0.1	0.01	0.55	14.134725	8.3408e-12	1.3557e-14	7.2737e-15	1.7675e-18	EXCLUDED
0.05	0.02	0.1	0.1	0.55	14.134725	8.3408e-12	1.3557e-14	7.2737e-15	1.6229e-17	EXCLUDED
0.05	0.05	0.01	0.01	0.55	14.134725	8.3408e-12	8.3408e-12	7.9219e-16	7.9219e-16	EXCLUDED
0.05	0.05	0.01	0.1	0.55	14.134725	8.3408e-12	8.3408e-12	7.9219e-16	7.2737e-15	EXCLUDED
0.05	0.05	0.1	0.01	0.55	14.134725	8.3408e-12	8.3408e-12	7.2737e-15	7.9219e-16	EXCLUDED
0.05	0.05	0.1	0.1	0.55	14.134725	8.3408e-12	8.3408e-12	7.2737e-15	7.2737e-15	EXCLUDED
0.05	0.08	0.01	0.01	0.55	14.134725	8.3408e-12	2.2722e-10	7.9219e-16	1.4515e-14	EXCLUDED
0.05	0.08	0.01	0.1	0.55	14.134725	8.3408e-12	2.2722e-10	7.9219e-16	1.3327e-13	EXCLUDED
0.05	0.08	0.1	0.01	0.55	14.134725	8.3408e-12	2.2722e-10	7.2737e-15	1.4515e-14	EXCLUDED
0.05	0.08	0.1	0.1	0.55	14.134725	8.3408e-12	2.2722e-10	7.2737e-15	1.3327e-13	EXCLUDED
0.08	0.02	0.01	0.01	0.55	14.134725	2.2722e-10	1.3557e-14	1.4515e-14	1.7675e-18	EXCLUDED
0.08	0.02	0.01	0.1	0.55	14.134725	2.2722e-10	1.3557e-14	1.4515e-14	1.6229e-17	EXCLUDED
0.08	0.02	0.1	0.01	0.55	14.134725	2.2722e-10	1.3557e-14	1.3327e-13	1.7675e-18	EXCLUDED
0.08	0.02	0.1	0.1	0.55	14.134725	2.2722e-10	1.3557e-14	1.3327e-13	1.6229e-17	EXCLUDED
0.08	0.05	0.01	0.01	0.55	14.134725	2.2722e-10	8.3408e-12	1.4515e-14	7.9219e-16	EXCLUDED
0.08	0.05	0.01	0.1	0.55	14.134725	2.2722e-10	8.3408e-12	1.4515e-14	7.2737e-15	EXCLUDED
0.08	0.05	0.1	0.01	0.55	14.134725	2.2722e-10	8.3408e-12	1.3327e-13	7.9219e-16	EXCLUDED
0.08	0.05	0.1	0.1	0.55	14.134725	2.2722e-10	8.3408e-12	1.3327e-13	7.2737e-15	EXCLUDED
0.12	0.02	0.01	0.01	0.55	14.134725	4.0004e-09	1.3557e-14	1.3236e-13	1.7675e-18	EXCLUDED
0.12	0.02	0.01	0.1	0.55	14.134725	4.0004e-09	1.3557e-14	1.3236e-13	1.6229e-17	EXCLUDED
0.12	0.02	0.1	0.01	0.55	14.134725	4.0004e-09	1.3557e-14	1.2153e-12	1.7675e-18	EXCLUDED
0.12	0.02	0.1	0.1	0.55	14.134725	4.0004e-09	1.3557e-14	1.2153e-12	1.6229e-17	EXCLUDED
0.12	0.05	0.01	0.01	0.55	14.134725	4.0004e-09	8.3408e-12	1.3236e-13	7.9219e-16	EXCLUDED
0.12	0.05	0.01	0.1	0.55	14.134725	4.0004e-09	8.3408e-12	1.3236e-13	7.2737e-15	EXCLUDED
0.12	0.05	0.1	0.01	0.55	14.134725	4.0004e-09	8.3408e-12	1.2153e-12	7.9219e-16	EXCLUDED
0.12	0.05	0.1	0.1	0.55	14.134725	4.0004e-09	8.3408e-12	1.2153e-12	7.2737e-15	EXCLUDED
0.1732	0.02	0.01	0.01	0.55	14.134725	5.5238e-08	1.3557e-14	6.1853e-13	1.7675e-18	EXCLUDED
0.1732	0.02	0.01	0.1	0.55	14.134725	5.5238e-08	1.3557e-14	6.1853e-13	1.6229e-17	EXCLUDED
0.1732	0.02	0.1	0.01	0.55	14.134725	5.5238e-08	1.3557e-14	5.6793e-12	1.7675e-18	EXCLUDED
0.1732	0.02	0.1	0.1	0.55	14.134725	5.5238e-08	1.3557e-14	5.6793e-12	1.6229e-17	EXCLUDED
0.1732	0.05	0.01	0.01	0.55	14.134725	5.5238e-08	8.3408e-12	6.1853e-13	7.9219e-16	EXCLUDED
0.1732	0.05	0.01	0.1	0.55	14.134725	5.5238e-08	8.3408e-12	6.1853e-13	7.2737e-15	EXCLUDED
0.1732	0.05	0.1	0.01	0.55	14.134725	5.5238e-08	8.3408e-12	5.6793e-12	7.9219e-16	EXCLUDED
0.1732	0.05	0.1	0.1	0.55	14.134725	5.5238e-08	8.3408e-12	5.6793e-12	7.2737e-15	EXCLUDED
0.05	0.05	0.01	0.01	0.99	21.02204	1.8667e-11	1.8667e-11	1.3092e-15	1.3092e-15	VISIBLE
0.05	0.05	0.01	0.1	0.99	21.02204	1.8667e-11	1.8667e-11	1.3092e-15	1.2021e-14	VISIBLE
0.05	0.05	0.1	0.01	0.99	21.02204	1.8667e-11	1.8667e-11	1.2021e-14	1.3092e-15	VISIBLE
0.05	0.05	0.1	0.1	0.99	21.02204	1.8667e-11	1.8667e-11	1.2021e-14	1.2021e-14	VISIBLE
0.05	0.08	0.01	0.01	0.99	21.02204	1.8667e-11	5.1752e-10	1.3092e-15	1.7692e-14	VISIBLE
0.05	0.08	0.01	0.1	0.99	21.02204	1.8667e-11	5.1752e-10	1.3092e-15	1.6244e-13	VISIBLE
0.05	0.08	0.1	0.01	0.99	21.02204	1.8667e-11	5.1752e-10	1.2021e-14	1.7692e-14	VISIBLE
0.05	0.08	0.1	0.1	0.99	21.02204	1.8667e-11	5.1752e-10	1.2021e-14	1.6244e-13	VISIBLE
0.05	0.12	0.01	0.01	0.99	21.02204	1.8667e-11	9.4244e-09	1.3092e-15	9.4812e-14	VISIBLE
0.05	0.12	0.01	0.1	0.99	21.02204	1.8667e-11	9.4244e-09	1.3092e-15	8.7054e-13	VISIBLE
0.05	0.12	0.1	0.01	0.99	21.02204	1.8667e-11	9.4244e-09	1.2021e-14	9.4812e-14	VISIBLE
0.05	0.12	0.1	0.1	0.99	21.02204	1.8667e-11	9.4244e-09	1.2021e-14	8.7054e-13	VISIBLE
0.05	0.1732	0.01	0.01	0.99	21.02204	1.8667e-11	1.3619e-07	1.3092e-15	1.9513e-13	VISIBLE
0.05	0.1732	0.01	0.1	0.99	21.02204	1.8667e-11	1.3619e-07	1.3092e-15	1.7917e-12	VISIBLE
0.05	0.1732	0.1	0.01	0.99	21.02204	1.8667e-11	1.3619e-07	1.2021e-14	1.9513e-13	VISIBLE
0.05	0.1732	0.1	0.1	0.99	21.02204	1.8667e-11	1.3619e-07	1.2021e-14	1.7917e-12	VISIBLE
0.08	0.05	0.01	0.01	0.99	21.02204	5.1752e-10	1.8667e-11	1.7692e-14	1.3092e-15	VISIBLE
0.08	0.05	0.01	0.1	0.99	21.02204	5.1752e-10	1.8667e-11	1.7692e-14	1.2021e-14	VISIBLE
0.08	0.05	0.1	0.01	0.99	21.02204	5.1752e-10	1.8667e-11	1.6244e-13	1.3092e-15	VISIBLE
0.08	0.05	0.1	0.1	0.99	21.02204	5.1752e-10	1.8667e-11	1.6244e-13	1.2021e-14	VISIBLE
0.08	0.08	0.01	0.01	0.99	21.02204	5.1752e-10	5.1752e-10	1.7692e-14	1.7692e-14	VISIBLE
0.08	0.08	0.01	0.1	0.99	21.02204	5.1752e-10	5.1752e-10	1.7692e-14	1.6244e-13	VISIBLE
0.08	0.08	0.1	0.01	0.99	21.02204	5.1752e-10	5.1752e-10	1.6244e-13	1.7692e-14	VISIBLE
0.08	0.08	0.1	0.1	0.99	21.02204	5.1752e-10	5.1752e-10	1.6244e-13	1.6244e-13	VISIBLE
0.08	0.12	0.01	0.01	0.99	21.02204	5.1752e-10	9.4244e-09	1.7692e-14	9.4812e-14	VISIBLE
0.08	0.12	0.01	0.1	0.99	21.02204	5.1752e-10	9.4244e-09	1.7692e-14	8.7054e-13	VISIBLE
0.08	0.12	0.1	0.01	0.99	21.02204	5.1752e-10	9.4244e-09	1.6244e-13	9.4812e-14	VISIBLE
0.08	0.12	0.1	0.1	0.99	21.02204	5.1752e-10	9.4244e-09	1.6244e-13	8.7054e-13	VISIBLE
0.08	0.1732	0.01	0.01	0.99	21.02204	5.1752e-10	1.3619e-07	1.7692e-14	1.9513e-13	VISIBLE
0.08	0.1732	0.01	0.1	0.99	21.02204	5.1752e-10	1.3619e-07	1.7692e-14	1.7917e-12	VISIBLE
0.08	0.1732	0.1	0.01	0.99	21.02204	5.1752e-10	1.3619e-07	1.6244e-13	1.9513e-13	VISIBLE
0.08	0.1732	0.1	0.1	0.99	21.02204	5.1752e-10	1.3619e-07	1.6244e-13	1.7917e-12	VISIBLE
0.12	0.05	0.01	0.01	0.99	21.02204	9.4244e-09	1.8667e-11	9.4812e-14	1.3092e-15	VISIBLE
0.12	0.05	0.01	0.1	0.99	21.02204	9.4244e-09	1.8667e-11	9.4812e-14	1.2021e-14	VISIBLE
0.12	0.05	0.1	0.01	0.99	21.02204	9.4244e-09	1.8667e-11	8.7054e-13	1.3092e-15	VISIBLE
0.12	0.05	0.1	0.1	0.99	21.02204	9.4244e-09	1.8667e-11	8.7054e-13	1.2021e-14	VISIBLE
0.12	0.08	0.01	0.01	0.99	21.02204	9.4244e-09	5.1752e-10	9.4812e-14	1.7692e-14	VISIBLE
0.12	0.08	0.01	0.1	0.99	21.02204	9.4244e-09	5.1752e-10	9.4812e-14	1.6244e-13	VISIBLE
0.12	0.08	0.1	0.01	0.99	21.02204	9.4244e-09	5.1752e-10	8.7054e-13	1.7692e-14	VISIBLE
0.12	0.08	0.1	0.1	0.99	21.02204	9.4244e-09	5.1752e-10	8.7054e-13	1.6244e-13	VISIBLE
0.12	0.12	0.01	0.01	0.99	21.02204	9.4244e-09	9.4244e-09	9.4812e-14	9.4812e-14	VISIBLE
0.12	0.12	0.01	0.1	0.99	21.02204	9.4244e-09	9.4244e-09	9.4812e-14	8.7054e-13	VISIBLE
0.12	0.12	0.1	0.01	0.99	21.02204	9.4244e-09	9.4244e-09	8.7054e-13	9.4812e-14	VISIBLE
0.12	0.12	0.1	0.1	0.99	21.02204	9.4244e-09	9.4244e-09	8.7054e-13	8.7054e-13	VISIBLE
0.12	0.1732	0.01	0.01	0.99	21.02204	9.4244e-09	1.3619e-07	9.4812e-14	1.9513e-13	VISIBLE
0.12	0.1732	0.01	0.1	0.99	21.02204	9.4244e-09	1.3619e-07	9.4812e-14	1.7917e-12	VISIBLE
0.12	0.1732	0.1	0.01	0.99	21.02204	9.4244e-09	1.3619e-07	8.7054e-13	1.9513e-13	VISIBLE
0.12	0.1732	0.1	0.1	0.99	21.02204	9.4244e-09	1.3619e-07	8.7054e-13	1.7917e-12	VISIBLE
0.1732	0.05	0.01	0.01	0.99	21.02204	1.3619e-07	1.8667e-11	1.9513e-13	1.3092e-15	TESTED
0.1732	0.05	0.01	0.1	0.99	21.02204	1.3619e-07	1.8667e-11	1.9513e-13	1.2021e-14	TESTED
0.1732	0.05	0.1	0.01	0.99	21.02204	1.3619e-07	1.8667e-11	1.7917e-12	1.3092e-15	TESTED
0.1732	0.05	0.1	0.1	0.99	21.02204	1.3619e-07	1.8667e-11	1.7917e-12	1.2021e-14	VISIBLE
0.1732	0.08	0.01	0.01	0.99	21.02204	1.3619e-07	5.1752e-10	1.9513e-13	1.7692e-14	VISIBLE
0.1732	0.08	0.01	0.1	0.99	21.02204	1.3619e-07	5.1752e-10	1.9513e-13	1.6244e-13	VISIBLE
0.1732	0.08	0.1	0.01	0.99	21.02204	1.3619e-07	5.1752e-10	1.7917e-12	1.7692e-14	VISIBLE
0.1732	0.08	0.1	0.1	0.99	21.02204	1.3619e-07	5.1752e-10	1.7917e-12	1.6244e-13	VISIBLE
0.1732	0.12	0.01	0.01	0.99	21.02204	1.3619e-07	9.4244e-09	1.9513e-13	9.4812e-14	VISIBLE
0.1732	0.12	0.01	0.1	0.99	21.02204	1.3619e-07	9.4244e-09	1.9513e-13	8.7054e-13	VISIBLE
0.1732	0.12	0.1	0.01	0.99	21.02204	1.3619e-07	9.4244e-09	1.7917e-12	9.4812e-14	VISIBLE
0.1732	0.12	0.1	0.1	0.99	21.02204	1.3619e-07	9.4244e-09	1.7917e-12	8.7054e-13	VISIBLE
